I'm not even watching the game anymore. Just enjoying @NYPost_Loftis colorful tweets and waiting patiently for it to end. #RedSoxVsYankees,positive,96
RT @viianneyy: #BOSvsNYY #RedSox #RedSoxVsYankees Go Red Sox http://t.co/wUAwRcavnk,neutral,94
RT @traciamc: I believe that we will win! I believe that we will win! I believe that we will win! @RedSox #RedSoxVsYankees,positive,59
"After 19 innings, we have won the battle. #RedSoxNation #BostonStrong #RedSoxVsYankees",positive,51
There is no way wright doesn't blow this. #RedSoxVsYankees @adamjones985,negative,64
Yes Mookie!! #RedSoxVsYankees,neutral,73
ARE YOU KIDDING ME RED SOXS DOUBLE PLAY TO END IT THAT WAS BEAUTIFUL!!!! #RedSoxVsYankees #RedSox,positive,90
God help us if this game fills out that 27 inning digital scoreboard at Yankee Stadium. #RedSox #RedSoxVsYankees,neutral,62
We here in Boston just want to prolong the misery. #RedSoxWin #RedSoxVsYankees,negative,80
"Now THAT is how you win a 19th inning game! Awesome double play, Boston! #RedSox #RedSoxNation #RedSoxVsYankees",positive,98
"Seriously @RedSox, I need to be up at 7:45 CT today. Please secure the win. #RedSoxVsYankees",neutral,53
About time.#RedSoxVsYankees,neutral,86
#WhenThisGameStarted Jerry Remy's son wasn't a murderer. #RedSoxVsYankees,neutral,74
#RedSoxVsYankees WE WIN!!! LET'S FUCKING GOOOO!!!!,positive,46
After 19 inning the @RedSox win it! Classic #RedSoxVsYankees game! #RedSox,positive,62
19 innings & 7 hrs of baseball & #RedSox win! What a way to start off another year of rivalry against #Yankees! #RedSoxVsYankees #BOSvsNYY,neutral,95
Three outs. Just three. I've said that too many times tonight. #RedSoxVsYankees,negative,83
"Is Koji eligible to pitch? It is the start of the 3rd game, lol? #RedSoxVsYankees #RedSox #RedSoxNation",neutral,84
"Just another memorable #RedSoxVsYankees game, 19 innings and Sox win⚾️",positive,80
RT @PatsGazette: At this rate we may get the #DeflateGate findings before we get a winner.... #RedSoxVsYankees,neutral,88
"""@dalenfarmer: Bottom 19th. Calvin Schiraldi in to wrap it up. Sweet. #RedSoxVsYankees #RedSox""just no Stanley",positive,62
"""He had dark hair when this game started."" ???? #RedSoxVsYankees",neutral,80
I have a feeling this'll be it. Damn. #RedSoxVsYankees,positive,35
That Red Sox game is so long @RedSox #RedSoxVsYankees,negative,48
RT @redsoxfaith85: @DropkickMurphys need to write a song called #TheBalladofMookieBetts if that sack fly ends this game #RedSoxVsYankees #7…,negative,75
Finally after 19 innings the Redsox WINNNNN 6-5 #BOSvsNYY #RedSoxVsYankees #beattheyankees,neutral,89
#RedSoxVsYankees 2:13 AM Now what do I do?,neutral,80
"Holy Plethura of Innings, Batman! #RedSoxVsYankees #19innings #baseball",neutral,74
What a Double Play! #RedSoxVsYankees victory after 19 innings,neutral,94
#RedSoxVsYankees DP! The End.,neutral,80
RT @VinP27: Top of the 19th. #RedSoxVsYankees http://t.co/hhT5a5k3d6,neutral,82
#RedSoxvsYankees inning 19... 7 hours long,neutral,67
Bout time! #RedSoxVsYankees,neutral,77
RT @darbyjalyn: The number of people still watching after 7 hrs of baseball proves that the #RedSoxVsYankees rivalry is the greatest of all…,positive,88
"""Beaches"" is on @DIRECTV channel 552 right now. Might be less depressing for Bob Costas than this #RedSoxVsYankees game. #SaveBobCostas #MLB",negative,95
"7 hrs and 617 pitches in 181/2 innings, someone win this game...????⚾️ #RedSoxVsYankees",neutral,85
"Thank God, the #RedSox won!#RedSoxVsYankees",positive,78
These poor baseball players probably aren't even getting paid overtime for these extra innings. The struggle is real #RedSoxVsYankees,negative,63
And that's the ball game! What a great last play!!! #RedSoxVsYankees,positive,94
